Kabupaten/Kota,Periode,Luas Panen,Curah Hujan,Kelembapan,Suhu,Kecepatan Angin,Sinar Matahari,Produksi
Kabupaten Ponorogo,Mei 2019,1210.0,19.6,75.03,26.89,22.16,10.91,16975.96
Kabupaten Ponorogo,Juni 2019,1489.0,2.4,70.87,25.95,25.67,10.82,7896.26
Kabupaten Ponorogo,Juli 2019,2671.0,4.9,71.29,25.34,27.74,10.8,61478.44
Kabupaten Ponorogo,Agustus 2019,1063.0,3.1,69.03,25.34,28.6,10.96,48982.81
Kabupaten Ponorogo,September 2019,113.0,0.2,67.47,26.01,30.76,11.02,9070.65
Kabupaten Ponorogo,Oktober 2019,121.0,3.2,63.97,27.97,27.7,11.31,1955.68
Kabupaten Ponorogo,November 2019,351.0,36.1,65.23,28.86,21.02,11.17,1460.41
Kabupaten Ponorogo,Desember 2019,117.0,258.6,75.97,28.01,12.66,9.55,17221.19
Kabupaten Ponorogo,Januari 2020,33.0,200.6,79.87,27.02,11.13,8.9,28844.89
Kabupaten Ponorogo,Februari 2020,609.0,325.4,85.14,26.41,9.7,7.83,2127.05
Kabupaten Ponorogo,Maret 2020,798.0,279.9,84.71,26.62,10.31,8.19,22831.36
Kabupaten Ponorogo,April 2020,8484.0,170.7,82.07,27.01,11.72,9.57,126555.79
Kabupaten Ponorogo,Mei 2020,2828.0,118.9,78.42,27.3,15.5,9.91,23480.75
Kabupaten Ponorogo,Juni 2020,1195.0,15.6,77.37,26.38,22.74,10.59,2963.54
Kabupaten Ponorogo,Juli 2020,1297.0,11.6,72.9,26.01,26.77,10.63,62418.12
Kabupaten Ponorogo,Agustus 2020,2299.0,15.6,71.32,26.36,26.82,10.8,52926.2
Kabupaten Ponorogo,September 2020,570.0,14.1,70.1,27.09,27.83,11.01,11642.69
Kabupaten Ponorogo,Oktober 2020,521.0,151.7,75.26,26.98,22.39,9.65,735.12
Kabupaten Ponorogo,November 2020,224.0,222.6,78.33,27.11,16.09,8.77,5781.16
Kabupaten Ponorogo,Desember 2020,433.0,250.7,82.13,26.05,10.13,7.38,37026.53
Kabupaten Ponorogo,Januari 2021,539.0,322.5,84.03,25.65,10.29,6.2,20937.46
Kabupaten Ponorogo,Februari 2021,3807.0,460.6,86.39,25.48,11.89,6.34,1471.52
Kabupaten Ponorogo,Maret 2021,5240.0,219.3,82.39,26.21,10.41,8.64,55816.49
Kabupaten Ponorogo,April 2021,1596.0,206.3,79.43,26.64,14.13,10.08,105539.58
Kabupaten Ponorogo,Mei 2021,1439.0,34.2,77.16,27.09,16.8,10.66,14618.92
Kabupaten Ponorogo,Juni 2021,1986.0,108.7,79.83,26.5,14.42,9.81,10796.11
Kabupaten Ponorogo,Juli 2021,2444.0,15.3,73.97,26.2,23.57,10.74,85188.34
Kabupaten Ponorogo,Agustus 2021,309.0,13.5,73.32,26.41,26.37,10.95,47732.97
Kabupaten Ponorogo,September 2021,329.0,64.7,75.57,26.33,24.37,10.46,6338.63
Kabupaten Ponorogo,Oktober 2021,205.0,90.5,72.9,27.15,21.45,10.72,398.36
Kabupaten Ponorogo,November 2021,876.0,401.6,83.0,26.23,12.93,7.21,7216.93
Kabupaten Ponorogo,Desember 2021,125.0,282.9,82.29,26.38,10.77,7.74,48609.73
Kabupaten Ponorogo,Januari 2022,20.76,269.2,81.87,25.82,10.96,7.9,7662.82
Kabupaten Ponorogo,Februari 2022,3226.83,299.4,84.18,25.64,13.68,7.07,679.02
Kabupaten Ponorogo,Maret 2022,5315.37,407.2,84.71,26.03,11.77,8.07,74834.92
Kabupaten Ponorogo,April 2022,1905.57,255.4,83.23,26.19,13.69,9.35,73880.59
Kabupaten Ponorogo,Mei 2022,1016.38,259.4,83.97,26.38,11.79,9.33,13114.83
Kabupaten Ponorogo,Juni 2022,1757.44,142.4,80.7,25.94,16.6,9.87,14317.9
Kabupaten Ponorogo,Juli 2022,2300.01,24.0,75.39,26.0,22.83,10.51,74823.45
Kabupaten Ponorogo,Agustus 2022,563.16,70.7,73.77,26.23,22.97,10.72,36298.96
Kabupaten Ponorogo,September 2022,449.2,103.1,74.3,26.58,23.9,10.43,9197.29
Kabupaten Ponorogo,Oktober 2022,371.33,256.6,78.68,26.21,15.78,8.63,412.1
Kabupaten Ponorogo,November 2022,825.65,397.3,82.8,26.1,13.18,7.42,10319.55
Kabupaten Ponorogo,Desember 2022,79.77,274.0,81.35,25.92,13.14,7.64,43872.34
Kabupaten Ponorogo,Januari 2023,393.6,189.8,80.52,26.03,11.79,8.63,15005.61
Kabupaten Ponorogo,Februari 2023,3890.75,442.7,84.96,25.32,11.63,6.13,706.23
Kabupaten Ponorogo,Maret 2023,4706.16,289.0,82.0,26.08,11.51,9.13,84201.65
Kabupaten Ponorogo,April 2023,1714.68,144.3,80.5,26.67,11.12,9.18,61226.25
Kabupaten Ponorogo,Mei 2023,555.38,125.7,77.1,26.42,18.45,10.36,21378.84
Kabupaten Ponorogo,Juni 2023,2531.34,12.5,74.07,26.82,21.28,10.8,28498.0
Kabupaten Ponorogo,Juli 2023,1898.33,31.6,74.42,25.59,25.18,10.52,62003.73
Kabupaten Ponorogo,Agustus 2023,874.84,0.4,73.06,25.26,26.42,10.94,45004.26
Kabupaten Ponorogo,September 2023,188.87,0.1,68.7,26.07,29.17,11.01,14839.43
Kabupaten Ponorogo,Oktober 2023,131.21,12.7,64.9,28.41,25.56,11.31,1633.69
Kabupaten Ponorogo,November 2023,617.53,86.0,68.57,28.95,21.08,10.97,10194.9
Kabupaten Ponorogo,Desember 2023,420.71,135.1,71.55,28.05,16.63,9.92,48301.49
Kabupaten Ponorogo,Januari 2024,61.91,349.6,80.9,27.01,10.76,8.45,17192.11
Kabupaten Ponorogo,Februari 2024,44.17,274.4,83.21,26.93,9.89,8.68,923.34
Kabupaten Ponorogo,Maret 2024,2540.48,185.0,80.81,27.18,12.97,8.26,41582.99
Kabupaten Ponorogo,April 2024,5009.7,141.0,81.0,27.56,14.05,9.38,97544.06
Kabupaten Ponorogo,Mei 2024,3330.43,24.1,76.03,27.34,20.81,10.72,26975.57
Kabupaten Ponorogo,Juni 2024,649.14,24.1,73.3,27.39,21.09,10.8,14438.98
Kabupaten Ponorogo,Juli 2024,414.22,13.4,72.06,26.2,25.17,10.51,47397.46
Kabupaten Ponorogo,Agustus 2024,1450.87,11.3,70.97,25.99,27.16,10.94,55669.54
Kabupaten Ponorogo,September 2024,442.16,94.6,70.67,27.21,24.05,10.73,25458.43
Kabupaten Ponorogo,Oktober 2024,203.6,73.1,70.45,27.95,23.42,11.05,3247.33
Kabupaten Ponorogo,November 2024,71.53,335.2,81.2,27.11,13.59,9.19,7482.04
Kabupaten Ponorogo,Desember 2024,384.64,320.1,84.0,26.31,10.55,6.97,41333.06
Kabupaten Trenggalek,Januari 2018,17.0,265.8,87.35,23.47,12.66,6.07,97.07
Kabupaten Trenggalek,Februari 2018,504.0,225.4,87.93,23.34,10.81,8.23,2943.02
Kabupaten Trenggalek,Maret 2018,5118.0,203.4,88.45,23.67,10.26,9.8,28681.52
Kabupaten Trenggalek,April 2018,3759.0,129.3,89.2,23.88,11.76,10.55,21859.55
Kabupaten Trenggalek,Mei 2018,1083.0,85.2,89.55,23.22,15.46,10.52,5343.73
Kabupaten Trenggalek,Juni 2018,580.0,200.7,91.93,22.37,14.9,9.3,2913.26
Kabupaten Trenggalek,Juli 2018,4298.0,117.3,91.61,20.92,16.66,10.38,21422.51
Kabupaten Trenggalek,Agustus 2018,2714.0,145.3,91.13,20.78,16.63,9.49,13585.82
Kabupaten Trenggalek,September 2018,1649.0,108.9,90.13,21.7,15.19,9.98,8319.57
Kabupaten Trenggalek,Oktober 2018,1280.0,99.6,89.35,22.88,15.6,10.67,6579.01
Kabupaten Trenggalek,November 2018,1061.0,419.7,92.07,23.48,12.75,8.13,5353.82
Kabupaten Trenggalek,Desember 2018,669.0,441.0,89.29,23.58,14.58,7.52,3475.75
Kabupaten Trenggalek,Januari 2019,397.0,325.5,87.9,23.99,11.86,7.79,2476.15
Kabupaten Trenggalek,Februari 2019,86.0,230.5,89.71,23.98,9.73,9.32,533.68
Kabupaten Trenggalek,Maret 2019,3904.0,319.9,89.23,23.75,10.38,7.14,24288.42
Kabupaten Trenggalek,April 2019,4475.0,244.1,91.73,23.9,11.41,9.73,27725.08
Kabupaten Trenggalek,Mei 2019,1703.0,144.4,91.71,23.04,15.27,10.85,8197.32
Kabupaten Trenggalek,Juni 2019,282.0,92.6,91.77,21.68,15.4,10.32,1367.35
Kabupaten Trenggalek,Juli 2019,3951.0,133.1,91.94,21.03,16.92,10.12,18971.71
Kabupaten Trenggalek,Agustus 2019,3039.0,112.5,91.26,20.81,17.16,10.3,14719.07
Kabupaten Trenggalek,September 2019,1295.0,66.5,90.3,21.35,17.18,10.37,6846.35
Kabupaten Trenggalek,Oktober 2019,842.0,61.3,87.48,23.06,15.71,10.9,4431.4
Kabupaten Trenggalek,November 2019,234.0,135.6,88.3,23.8,13.41,10.6,1254.98
Kabupaten Trenggalek,Desember 2019,268.0,311.0,88.13,24.67,10.84,9.16,1402.06
Kabupaten Trenggalek,Januari 2020,130.0,223.5,88.06,24.21,11.16,9.02,791.3
Kabupaten Trenggalek,Februari 2020,223.0,340.1,89.86,24.19,9.22,7.44,1364.88
Kabupaten Trenggalek,Maret 2020,1318.0,350.9,89.81,24.29,9.92,8.17,8047.35
Kabupaten Trenggalek,April 2020,4979.0,259.6,90.67,24.23,10.17,9.71,30181.55
Kabupaten Trenggalek,Mei 2020,3027.0,336.2,91.35,24.02,12.21,9.4,15715.76
Kabupaten Trenggalek,Juni 2020,597.0,265.1,93.53,22.7,14.4,9.68,3128.69
Kabupaten Trenggalek,Juli 2020,2541.0,183.1,92.84,21.82,16.7,9.88,13281.07
Kabupaten Trenggalek,Agustus 2020,2296.0,129.6,92.48,22.01,15.5,10.01,11977.24
Kabupaten Trenggalek,September 2020,2514.0,190.7,92.5,22.53,16.12,10.46,13331.6
Kabupaten Trenggalek,Oktober 2020,493.0,367.1,94.26,22.93,13.27,8.49,2613.79
Kabupaten Trenggalek,November 2020,1064.0,484.8,91.97,23.7,11.75,7.94,5634.54
Kabupaten Trenggalek,Desember 2020,448.0,429.7,89.03,23.52,12.56,6.91,2377.85
Kabupaten Trenggalek,Januari 2021,565.0,434.5,88.55,23.46,11.2,5.73,3289.59
Kabupaten Trenggalek,Februari 2021,829.0,422.7,88.79,23.59,11.92,6.87,4877.49
Kabupaten Trenggalek,Maret 2021,3401.0,311.1,89.16,23.75,9.83,8.68,20209.95
Kabupaten Trenggalek,April 2021,4593.0,281.0,89.1,23.71,10.86,10.1,26974.16
Kabupaten Trenggalek,Mei 2021,783.0,166.6,91.0,23.65,12.46,10.55,3542.64
Kabupaten Trenggalek,Juni 2021,1416.0,305.7,92.07,23.31,10.05,9.35,6394.21
Kabupaten Trenggalek,Juli 2021,5033.0,135.6,91.65,22.36,14.7,10.42,22845.22
Kabupaten Trenggalek,Agustus 2021,1931.0,282.1,93.45,22.15,15.8,9.97,8802.36
Kabupaten Trenggalek,September 2021,536.0,365.4,92.23,22.52,16.04,10.08,2654.64
Kabupaten Trenggalek,Oktober 2021,784.0,179.8,90.68,22.95,14.29,9.6,3871.61
Kabupaten Trenggalek,November 2021,1412.0,441.1,90.67,23.46,9.99,6.48,7046.7
Kabupaten Trenggalek,Desember 2021,1210.0,301.9,88.94,23.88,12.05,7.43,5947.77
Kabupaten Trenggalek,Januari 2022,508.19,187.9,86.65,23.64,12.09,7.84,2862.67
Kabupaten Trenggalek,Februari 2022,128.91,335.0,87.82,23.66,12.41,7.65,726.16
Kabupaten Trenggalek,Maret 2022,5101.36,332.9,89.94,23.77,10.92,8.52,28038.22
Kabupaten Trenggalek,April 2022,3306.49,264.3,90.1,23.68,10.48,9.35,18316.05
Kabupaten Trenggalek,Mei 2022,1016.85,226.1,90.1,24.04,10.05,9.19,5131.56
Kabupaten Trenggalek,Juni 2022,544.91,186.3,90.63,22.97,12.26,9.57,2751.17
Kabupaten Trenggalek,Juli 2022,4676.86,198.0,90.94,22.3,15.48,9.32,23599.74
Kabupaten Trenggalek,Agustus 2022,2275.88,242.0,91.26,22.21,16.05,9.57,11482.39
Kabupaten Trenggalek,September 2022,679.83,222.1,91.5,22.57,14.79,9.22,3457.26
Kabupaten Trenggalek,Oktober 2022,858.6,430.1,90.94,22.72,12.99,7.13,4389.65
Kabupaten Trenggalek,November 2022,1675.62,507.6,90.3,23.31,10.39,6.5,8628.65
Kabupaten Trenggalek,Desember 2022,1253.47,328.2,88.06,23.37,13.14,8.12,6374.49
Kabupaten Trenggalek,Januari 2023,498.72,176.0,86.87,23.48,14.22,8.73,2787.78
Kabupaten Trenggalek,Februari 2023,752.81,320.3,87.36,23.51,12.69,6.17,3926.37
Kabupaten Trenggalek,Maret 2023,5434.66,312.4,88.32,23.61,10.76,8.87,29959.07
Kabupaten Trenggalek,April 2023,2937.63,170.4,89.23,23.75,11.54,9.01,16011.57
Kabupaten Trenggalek,Mei 2023,913.54,159.4,89.35,23.13,13.27,10.02,4375.01
Kabupaten Trenggalek,Juni 2023,693.14,182.1,91.93,22.69,14.27,9.76,3292.29
Kabupaten Trenggalek,Juli 2023,3928.73,249.6,92.42,21.39,17.61,9.24,18609.33
Kabupaten Trenggalek,Agustus 2023,3404.94,92.1,91.77,21.11,17.14,10.16,16132.09
Kabupaten Trenggalek,September 2023,657.65,58.9,89.4,21.58,16.84,10.55,3727.68
Kabupaten Trenggalek,Oktober 2023,457.84,47.3,85.13,23.73,15.34,10.91,2606.97
Kabupaten Trenggalek,November 2023,1525.25,144.5,87.2,24.33,14.12,10.34,8638.02
Kabupaten Trenggalek,Desember 2023,844.45,185.2,85.1,24.13,13.2,9.67,4808.35
Kabupaten Trenggalek,Januari 2024,317.75,223.0,88.42,24.18,11.24,8.76,1950.36
Kabupaten Trenggalek,Februari 2024,67.77,252.8,88.52,24.39,9.07,8.56,401.72
Kabupaten Trenggalek,Maret 2024,1069.77,290.4,88.1,24.4,11.77,8.49,6494.4
Kabupaten Trenggalek,April 2024,4599.55,260.8,92.23,24.18,12.42,8.97,27952.25
Kabupaten Trenggalek,Mei 2024,3090.94,136.2,92.29,23.41,15.41,10.67,17497.94
Kabupaten Trenggalek,Juni 2024,1067.0,172.4,92.13,23.03,15.36,9.9,6105.63
Kabupaten Trenggalek,Juli 2024,1272.62,164.6,91.61,21.77,17.09,10.07,7190.48
Kabupaten Trenggalek,Agustus 2024,3643.84,90.2,90.71,21.58,17.23,10.46,20765.44
Kabupaten Trenggalek,September 2024,839.97,141.4,89.17,22.8,15.08,10.48,4453.95
Kabupaten Trenggalek,Oktober 2024,1005.75,139.9,89.03,23.5,15.3,10.51,5345.06
Kabupaten Trenggalek,November 2024,542.15,317.7,90.07,24.04,10.01,9.14,2882.99
Kabupaten Trenggalek,Desember 2024,722.34,356.9,90.06,23.81,10.29,6.55,3819.13
Kabupaten Tulungagung,Januari 2018,318.0,302.4,88.16,24.94,11.84,6.45,2210.32
Kabupaten Tulungagung,Februari 2018,1649.0,299.9,89.07,24.79,10.86,8.24,11479.46
Kabupaten Tulungagung,Maret 2018,5143.0,197.2,87.58,25.35,12.45,10.06,35537.57
Kabupaten Tulungagung,April 2018,9415.0,123.1,87.63,25.76,12.32,10.55,65542.98
Kabupaten Tulungagung,Mei 2018,1964.0,44.0,83.0,25.62,17.5,10.5,10914.95
Kabupaten Tulungagung,Juni 2018,1142.0,67.9,82.8,25.06,19.24,9.95,6344.94
Kabupaten Tulungagung,Juli 2018,2906.0,9.9,82.55,23.66,19.85,10.71,16147.51
Kabupaten Tulungagung,Agustus 2018,7365.0,13.3,78.42,24.05,20.73,10.05,40925.79
Kabupaten Tulungagung,September 2018,2594.0,22.8,77.9,25.04,19.91,10.4,14358.72
Kabupaten Tulungagung,Oktober 2018,1261.0,33.6,76.9,26.22,20.23,10.88,6978.27
Kabupaten Tulungagung,November 2018,1090.0,313.1,85.33,25.93,15.46,8.88,6035.56
Kabupaten Tulungagung,Desember 2018,74.0,342.2,84.94,25.75,16.2,7.99,408.55
Kabupaten Tulungagung,Januari 2019,880.0,360.7,88.94,25.4,12.36,7.96,4610.19
Kabupaten Tulungagung,Februari 2019,481.0,228.2,88.75,25.64,11.11,9.5,2517.03
Kabupaten Tulungagung,Maret 2019,3047.0,365.8,89.71,25.25,11.55,7.78,15875.9
Kabupaten Tulungagung,April 2019,9458.0,222.6,88.63,25.94,12.08,9.59,49525.63
Kabupaten Tulungagung,Mei 2019,5621.0,49.8,85.52,25.41,17.29,10.96,32536.31
Kabupaten Tulungagung,Juni 2019,1239.0,8.9,83.7,24.25,19.03,10.54,7172.69
Kabupaten Tulungagung,Juli 2019,1120.0,15.0,81.9,23.99,20.57,10.07,6483.37
Kabupaten Tulungagung,Agustus 2019,6288.0,7.9,79.48,24.0,21.53,10.4,36305.8
Kabupaten Tulungagung,September 2019,4040.0,6.7,78.27,24.58,22.0,10.72,25987.45
Kabupaten Tulungagung,Oktober 2019,1108.0,14.0,77.77,26.12,20.49,11.0,7037.46
Kabupaten Tulungagung,November 2019,848.0,81.9,79.33,26.73,17.15,10.81,5453.04
Kabupaten Tulungagung,Desember 2019,455.0,268.9,84.77,26.73,12.87,9.33,2925.71
Kabupaten Tulungagung,Januari 2020,850.0,225.7,87.32,25.95,12.52,9.17,5272.38
Kabupaten Tulungagung,Februari 2020,75.0,334.6,90.48,25.55,11.34,7.64,467.61
Kabupaten Tulungagung,Maret 2020,467.0,317.3,89.81,25.8,11.55,8.5,2897.05
Kabupaten Tulungagung,April 2020,7276.0,203.0,88.77,26.08,11.44,9.77,44982.98
Kabupaten Tulungagung,Mei 2020,9932.0,205.2,86.87,26.18,13.87,9.6,57332.97
Kabupaten Tulungagung,Juni 2020,2656.0,87.7,86.2,25.05,17.1,10.41,15334.57
Kabupaten Tulungagung,Juli 2020,216.0,34.6,83.84,24.47,19.41,10.26,1248.75
Kabupaten Tulungagung,Agustus 2020,2911.0,47.8,82.9,24.77,19.04,10.44,16803.2
